1,Jingle Bells,Silent Night,Oh Holy Night,Santa Clause is coming to town,,Its beginning to look a lot like Christmas
2,"Dashing through the snow,","Silent night, Holy night",The stars are brightly shining,You better watch out,,It's beginning to look a lot like Christmas
3,In a one horse open sleigh,"All is calm, all is bright",It is the night of our dear Savior's birth,You better not cry,,Everywhere you go;
4,Over the fields we go,"Round yon virgin, mother and child",Long lay the world in sin and e'er pining,Better not pout,,Take a look in the five and ten glistening once again
5,Laughing all the way.,"Holy infant, tender and mild",'Til He appeared and the soul felt its worth,I'm telling you why,,With candy canes and silver lanes aglow.
6,bells on bob tail ring,"Sleep in heavenly peace,",A thrill of hope the weary world rejoices,Santa Claus is coming to town,,It's beginning to look a lot like Christmas
7,making spirits bright,Sleep in heavenly peace.4,For yonder breaks a new and glorious morn.,,,Toys in every store
8,What fun it is to ride and sing,"Silent night, Holy night",Fall on your knees O hear the angels voices.,He's making a list,,But the prettiest sight to see is the holly that will be
9,A sleighing song tonight,"Son of God, love's pure light",O night divine O night when Christ was born,And checking it twice;,,On your own front door.
10,Oh jingle bells jingle bells,Radiant beams from thy holy face,"O night divine, O night, O night divine.",He's gonna find out,,A pair of hopalong boots and a pistol that shoots
11,jingle all the way!,"With the dawn of redeeming grace,","Led by the light of Faith serenely beaming,",Who's naughty or nice,,Is the wish of Barney and Ben;
12,Oh what fun,"Jesus, Lord at thy birth",With glowing hearts by His cradle we stand.,Santa Claus is coming to town,,Dolls that will talk and will go for a walk
13,it is to ride,"Jesus, Lord at thy birth.2","So led by light of a star sweetly gleaming,",,,Is the hope of Janice and Jen;
14,"In a one horse open sleigh, Hey!","Silent night, Holy night",Here came the wise men from Orient land.,He sees you when you're sleeping,,And Mom and Dad can hardly wait for school to start again.
15,Jingle bells jingle bells,"Shepherds quake, at the sight",The King of Kings lay thus in lowly manger;,He knows when you're awake,,It's beginning to look a lot like Christmas
16,Jingle all the way!,Glories stream from heaven above,In all our trials born to be our friend.,He knows if you've been bad or good,,Everywhere you go;
17,Oh what fun it is to ride,"Heavenly, hosts sing Hallelujah.","He knows our need, to our weakness is no stranger,",So be good for goodness sake!,,"There's a tree in the Grand Hotel, one in the park as well,"
18,In a one horse open sleigh,"Christ the Savior is born,",Behold your King! Before Him lowly bend!,,,The sturdy kind that doesn't mind the snow.
19,A Happy sad version of this song. Loving it : See All,,Behold your King! Before Him lowly bend!,You better watch out!,,It's beginning to look a lot like Christmas;
20,A day or two ago,,Truly He taught us to love one another;,You better not cry,,"Soon the bells will start,"
21,I thought I'd took a ride,,His law is love and His gospel is peace.,You better not pout,,And the thing that will make them ring is the carol that you sing
22,And soon Miss Fannie Bright,,Chains shall He break for the slave is our brother;,I'm telling you why,,Right within your heart!
23,Seated by my side,,And in His name all oppression shall cease.,Santa Claus is coming to town,,
24,The horse was lean and lank,,"Sweet hymns of joy in grateful chorus raise we,",,,
25,Miss fortuned seemed his lot,,Let all within us praise His holy name.,He sees you when you're sleeping,,
26,He got into a drifted bank,,"Christ is the Lord! O praise His Name forever,",He knows when you're awake,,
27,And we all got upset,,His power and glory evermore proclaim.,He knows if you've been bad or good,,
28,Oh jingle bells jingle bells,,"O night divine, O night, O night divine",So be good for goodness sake!,,
29,jingle all the way!,,,You better watch out!,,
30,Oh what fun,,,You better not cry,,
31,it is to ride,,,You better not pout,,
32,"In a one horse open sleigh, Hey!",,,I'm telling you why,,
33,Jingle bells jingle bells,,,,,
34,Jingle all the way!,,,,,
35,Oh what fun it is to ride,,,,,
36,In a one horse open sleigh,,,,,
37,A day of two ago,,,,,
38,The story I must tell,,,,,
39,I went out on the snow,,,,,
40,And on my back I fell;,,,,,
41,A gent was riding by,,,,,
42,In a one-horse open sleigh,,,,,
43,He laughed a there I sprawling lie,,,,,
44,But quickly drove away,,,,,
45,Oh jingle bells jingle bells,,,,,
46,jingle all the way!,,,,,
47,Oh what fun,,,,,
48,it is to ride,,,,,
49,"In a one horse open sleigh, Hey!",,,,,
50,Jingle bells jingle bells,,,,,
51,Jingle all the way!,,,,,
52,Oh what fun it is to ride,,,,,
53,In a one horse open sleigh,,,,,
